Age,Age_Group,Attrition,Attrition_Flag,Department,JobRole,JobLevel,BusinessTravel,Gender,MaritalStatus,EducationField,Education,MonthlyIncome,Income_Band,PercentSalaryHike,StockOptionLevel,JobSatisfaction,JobSatisfaction_Label,EnvironmentSatisfaction,RelationshipSatisfaction,JobInvolvement,WorkLifeBalance,OverTime,DistanceFromHome,YearsAtCompany,Tenure_Group,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TotalWorkingYears,NumCompaniesWorked,PerformanceRating,TrainingTimesLastYear
49,4. Age 45-54,No,0,Research & Development,Research Director,5,Travel_Frequently,Female,Single,Life Sciences,4,18665,4. Above $10K,11,0,1,1 - Low,3,4,3,3,Yes,10,3,2. 1-3 Years,2,1,2,22,9,3,4
36,3. Age 35-44,No,0,Research & Development,Research Scientist,2,Travel_Rarely,Male,Single,Technical Degree,3,4485,2. $3K-$6K,12,0,2,2 - Medium,3,4,3,3,No,3,8,4. 5-10 Years,0,7,7,10,4,3,2
31,2. Age 25-34,No,0,Sales,Sales Representative,1,Travel_Frequently,Female,Divorced,Marketing,3,2789,1. Under $3K,11,1,2,2 - Medium,4,3,3,2,No,5,2,2. 1-3 Years,2,2,2,2,1,3,5
26,2. Age 25-34,Yes,1,Sales,Sales Executive,2,Travel_Rarely,Male,Single,Marketing,4,5828,2. $3K-$6K,12,0,4,4 - Very High,4,2,2,3,Yes,4,8,4. 5-10 Years,7,7,4,8,1,3,0
37,3. Age 35-44,No,0,Research & Development,Research Scientist,1,Travel_Frequently,Male,Married,Medical,3,2326,1. Under $3K,12,3,4,4 - Very High,2,3,3,2,Yes,9,4,3. 3-5 Years,2,1,2,4,1,3,3
42,3. Age 35-44,No,0,Sales,Sales Executive,4,Travel_Frequently,Female,Married,Marketing,3,13525,4. Above $10K,14,1,2,2 - Medium,3,4,3,4,No,26,20,5. 10+ Years,4,4,8,23,5,3,2
18,1. Under 25,Yes,1,Research & Development,Laboratory Technician,1,Travel_Rarely,Male,Single,Life Sciences,3,1420,1. Under $3K,13,0,3,3 - High,3,3,3,3,No,3,0,1. 0-1 Years,0,0,0,0,1,3,2
35,3. Age 35-44,No,0,Sales,Sales Executive,3,Travel_Rarely,Male,Married,Marketing,3,8020,3. $6K-$10K,15,2,2,2 - Medium,3,3,3,2,No,16,11,5. 10+ Years,9,6,9,12,0,3,3
36,3. Age 35-44,No,0,Research & Development,Laboratory Technician,1,Travel_Frequently,Male,Married,Life Sciences,4,3688,2. $3K-$6K,18,2,4,4 - Very High,3,4,4,3,No,18,1,1. 0-1 Years,0,0,0,4,4,3,2
51,4. Age 45-54,No,0,Research & Development,Manufacturing Director,2,Travel_Rarely,Male,Divorced,Medical,3,5482,2. $3K-$6K,18,1,2,2 - Medium,4,4,1,3,No,2,4,3. 3-5 Years,1,1,2,13,5,3,3
41,3. Age 35-44,No,0,Sales,Manager,4,Travel_Rarely,Male,Single,Life Sciences,4,16015,4. Above $10K,19,0,2,2 - Medium,4,2,3,3,No,2,22,5. 10+ Years,10,0,4,22,1,3,2
18,1. Under 25,No,0,Sales,Sales Representative,1,Travel_Rarely,Female,Single,Medical,3,1200,1. Under $3K,12,0,3,3 - High,4,1,2,3,No,10,0,1. 0-1 Years,0,0,0,0,1,3,2
28,2. Age 25-34,No,0,Research & Development,Healthcare Representative,2,Travel_Rarely,Male,Single,Medical,2,5661,2. $3K-$6K,19,0,1,1 - Low,2,3,4,3,No,16,8,4. 5-10 Years,3,0,7,9,0,3,2
31,2. Age 25-34,No,0,Sales,Sales Executive,2,Travel_Rarely,Male,Married,Technical Degree,3,6929,3. $6K-$10K,11,1,4,4 - Very High,2,2,4,2,No,7,8,4. 5-10 Years,7,7,7,10,4,3,3
39,3. Age 35-44,No,0,Research & Development,Healthcare Representative,3,Travel_Rarely,Male,Divorced,Medical,3,9613,3. $6K-$10K,17,3,4,4 - Very High,3,1,4,2,No,1,18,5. 10+ Years,10,3,7,19,0,3,5
36,3. Age 35-44,No,0,Research & Development,Laboratory Technician,2,Non-Travel,Female,Married,Life Sciences,4,5674,2. $3K-$6K,15,1,2,2 - Medium,2,3,3,3,No,24,9,4. 5-10 Years,8,0,8,11,7,3,3
32,2. Age 25-34,No,0,Sales,Sales Executive,2,Travel_Rarely,Male,Married,Life Sciences,3,5484,2. $3K-$6K,14,1,3,3 - High,4,3,2,2,No,7,13,5. 10+ Years,8,4,8,13,1,3,3
38,3. Age 35-44,No,0,Research & Development,Research Director,3,Travel_Rarely,Female,Married,Life Sciences,2,12061,4. Above $10K,17,1,2,2 - Medium,1,3,2,3,No,25,10,4. 5-10 Years,8,0,1,19,3,3,2
58,5. Age 55+,No,0,Research & Development,Healthcare Representative,2,Non-Travel,Male,Divorced,Life Sciences,4,5660,2. $3K-$6K,13,1,3,3 - High,4,4,1,3,Yes,1,5,3. 3-5 Years,3,1,2,12,2,3,2
31,2. Age 25-34,No,0,Research & Development,Research Scientist,1,Travel_Rarely,Male,Married,Technical Degree,4,4821,2. $3K-$6K,12,1,4,4 - Very High,3,3,3,3,Yes,5,5,3. 3-5 Years,2,0,3,6,0,3,4
31,2. Age 25-34,No,0,Human Resources,Human Resources,2,Travel_Rarely,Male,Married,Human Resources,3,6410,3. $6K-$10K,12,0,1,1 - Low,1,4,2,3,No,2,2,2. 1-3 Years,2,1,0,9,3,3,1
45,4. Age 45-54,No,0,Research & Development,Laboratory Technician,3,Travel_Frequently,Male,Divorced,Life Sciences,3,5210,2. $3K-$6K,18,1,1,1 - Low,1,1,3,3,No,7,24,5. 10+ Years,9,9,11,24,1,3,2
31,2. Age 25-34,No,0,Research & Development,Research Scientist,1,Travel_Rarely,Male,Divorced,Life Sciences,4,2695,1. Under $3K,18,1,4,4 - Very High,3,2,3,1,Yes,2,2,2. 1-3 Years,2,2,2,3,0,3,2
33,2. Age 25-34,No,0,Research & Development,Manager,3,Travel_Frequently,Female,Married,Life Sciences,4,11878,4. Above $10K,11,2,2,2 - Medium,4,2,3,3,No,5,10,4. 5-10 Years,6,8,8,12,6,3,2
39,3. Age 35-44,No,0,Research & Development,Manager,4,Travel_Rarely,Male,Married,Medical,1,17068,4. Above $10K,14,0,1,1 - Low,3,4,3,3,Yes,10,21,5. 10+ Years,9,11,10,21,1,3,3
43,3. Age 35-44,No,0,Research & Development,Laboratory Technician,1,Travel_Frequently,Female,Single,Life Sciences,4,2455,1. Under $3K,19,0,4,4 - Very High,3,1,3,3,No,10,8,4. 5-10 Years,7,1,7,9,0,3,5
49,4. Age 45-54,No,0,Research & Development,Healthcare Representative,4,Travel_Rarely,Female,Single,Technical Degree,2,13964,4. Above $10K,12,0,3,3 - High,3,4,2,3,Yes,1,7,4. 5-10 Years,1,0,7,25,7,3,2
52,4. Age 45-54,Yes,1,Research & Development,Research Scientist,2,Travel_Rarely,Male,Married,Medical,4,4941,2. $3K-$6K,15,0,2,2 - Medium,3,1,2,2,No,8,8,4. 5-10 Years,2,7,7,11,2,3,3
27,2. Age 25-34,No,0,Research & Development,Research Scientist,1,Travel_Rarely,Female,Single,Life Sciences,3,2478,1. Under $3K,12,0,2,2 - Medium,3,2,3,2,Yes,5,4,3. 3-5 Years,3,1,2,4,1,3,2
32,2. Age 25-34,No,0,Sales,Sales Executive,2,Travel_Rarely,Female,Married,Technical Degree,2,5228,2. $3K-$6K,11,0,2,2 - Medium,3,4,2,3,Yes,8,13,5. 10+ Years,12,11,9,13,1,3,2
27,2. Age 25-34,No,0,Sales,Sales Executive,2,Travel_Rarely,Male,Single,Life Sciences,3,4478,2. $3K-$6K,11,0,3,3 - High,4,1,3,3,Yes,2,5,3. 3-5 Years,4,0,4,5,1,3,3
31,2. Age 25-34,No,0,Sales,Sales Executive,2,Travel_Rarely,Male,Divorced,Marketing,3,7547,3. $6K-$10K,12,3,4,4 - Very High,4,4,3,3,No,7,7,4. 5-10 Years,7,1,7,13,4,3,3
32,2. Age 25-34,No,0,Research & Development,Research Scientist,2,Travel_Rarely,Female,Single,Medical,4,5055,2. $3K-$6K,16,0,4,4 - Very High,1,3,4,2,No,2,7,4. 5-10 Years,7,0,7,10,7,3,0
28,2. Age 25-34,Yes,1,Research & Development,Research Scientist,1,Travel_Rarely,Male,Married,Medical,4,3464,2. $3K-$6K,13,0,4,4 - Very High,1,4,1,2,Yes,2,3,2. 1-3 Years,2,2,2,5,5,3,4
30,2. Age 25-34,No,0,Research & Development,Research Scientist,2,Travel_Rarely,Female,Married,Medical,2,5775,2. $3K-$6K,13,2,4,4 - Very High,4,4,3,3,No,28,10,4. 5-10 Years,8,1,9,11,1,3,2
31,2. Age 25-34,No,0,Research & Development,Manufacturing Director,3,Travel_Frequently,Female,Married,Life Sciences,2,8943,3. $6K-$10K,24,1,3,3 - High,3,1,2,3,No,7,10,4. 5-10 Years,9,8,9,10,1,4,2
39,3. Age 35-44,No,0,Research & Development,Manager,5,Travel_Frequently,Male,Married,Medical,2,19272,4. Above $10K,15,1,4,4 - Very High,3,1,2,3,No,7,21,5. 10+ Years,9,13,3,21,1,3,2
39,3. Age 35-44,Yes,1,Sales,Sales Executive,2,Travel_Rarely,Female,Married,Medical,2,5238,2. $3K-$6K,18,0,3,3 - High,4,1,3,2,Yes,3,1,1. 0-1 Years,0,0,0,12,4,3,3
33,2. Age 25-34,No,0,Sales,Sales Executive,2,Travel_Frequently,Male,Single,Marketing,3,4682,2. $3K-$6K,14,0,4,4 - Very High,2,3,2,2,No,10,7,4. 5-10 Years,7,0,1,9,3,3,6
47,4. Age 45-54,No,0,Research & Development,Research Director,5,Travel_Rarely,Male,Married,Life Sciences,5,18300,4. Above $10K,11,1,3,3 - High,4,2,3,3,No,5,3,2. 1-3 Years,2,1,1,21,4,3,2
43,3. Age 35-44,No,0,Research & Development,Laboratory Technician,2,Travel_Frequently,Female,Divorced,Life Sciences,4,5257,2. $3K-$6K,11,1,3,3 - High,3,2,2,4,No,10,9,4. 5-10 Years,7,0,0,9,1,3,3
27,2. Age 25-34,No,0,Sales,Sales Executive,2,Non-Travel,Male,Married,Marketing,1,6349,3. $6K-$10K,13,1,2,2 - Medium,3,4,3,3,Yes,1,5,3. 3-5 Years,4,1,4,6,0,3,0
54,4. Age 45-54,No,0,Research & Development,Research Scientist,2,Travel_Frequently,Female,Single,Life Sciences,4,4869,2. $3K-$6K,12,0,3,3 - High,4,4,3,2,No,20,4,3. 3-5 Years,3,0,3,20,3,3,4
43,3. Age 35-44,No,0,Research & Development,Healthcare Representative,3,Travel_Rarely,Female,Married,Life Sciences,3,9985,3. $6K-$10K,16,1,1,1 - Low,3,1,3,2,No,7,1,1. 0-1 Years,0,0,0,10,8,3,1
45,4. Age 45-54,No,0,Research & Development,Research Scientist,2,Travel_Rarely,Male,Married,Other,4,3697,2. $3K-$6K,14,2,4,4 - Very High,4,1,3,3,No,8,10,4. 5-10 Years,9,9,8,12,9,3,3
40,3. Age 35-44,No,0,Sales,Sales Executive,2,Travel_Rarely,Male,Married,Medical,2,7457,3. $6K-$10K,22,3,4,4 - Very High,2,3,1,2,Yes,1,4,3. 3-5 Years,3,0,2,6,2,4,2
29,2. Age 25-34,Yes,1,Research & Development,Laboratory Technician,1,Travel_Rarely,Male,Married,Other,4,2119,1. Under $3K,11,0,1,1 - Low,2,4,1,2,Yes,8,7,4. 5-10 Years,7,0,7,7,1,3,4
29,2. Age 25-34,No,0,Research & Development,Laboratory Technician,1,Travel_Rarely,Male,Single,Other,5,3983,2. $3K-$6K,17,0,4,4 - Very High,2,3,2,3,No,9,3,2. 1-3 Years,2,2,2,4,0,3,2
30,2. Age 25-34,No,0,Sales,Sales Executive,2,Travel_Rarely,Female,Divorced,Marketing,3,6118,3. $6K-$10K,13,3,3,3 - High,4,3,2,3,No,5,10,4. 5-10 Years,9,1,2,10,1,3,2
27,2. Age 25-34,No,0,Sales,Sales Executive,2,Travel_Rarely,Female,Married,Marketing,4,6214,3. $6K-$10K,18,1,2,2 - Medium,2,1,3,3,No,8,8,4. 5-10 Years,7,0,7,8,1,3,3
37,3. Age 35-44,No,0,Research & Development,Manufacturing Director,2,Travel_Rarely,Male,Divorced,Medical,2,6347,3. $6K-$10K,16,2,4,4 - Very High,4,3,3,2,No,5,6,4. 5-10 Years,2,0,4,8,7,3,2
38,3. Age 35-44,No,0,Research & Development,Research Director,3,Travel_Rarely,Male,Divorced,Life Sciences,2,11510,4. Above $10K,14,1,4,4 - Very High,3,2,2,3,Yes,15,11,5. 10+ Years,10,2,9,12,0,3,3
31,2. Age 25-34,No,0,Research & Development,Manufacturing Director,3,Travel_Rarely,Female,Single,Medical,4,7143,3. $6K-$10K,14,0,4,4 - Very High,3,3,3,2,Yes,7,11,5. 10+ Years,9,4,10,11,1,3,2
29,2. Age 25-34,No,0,Sales,Sales Executive,2,Travel_Rarely,Female,Divorced,Marketing,1,8268,3. $6K-$10K,14,2,2,2 - Medium,4,1,2,3,Yes,10,7,4. 5-10 Years,7,1,7,7,1,3,2
35,3. Age 35-44,No,0,Research & Development,Manufacturing Director,3,Travel_Rarely,Male,Single,Technical Degree,4,8095,3. $6K-$10K,13,0,2,2 - Medium,3,4,3,3,No,5,16,5. 10+ Years,6,0,13,17,0,3,5
23,1. Under 25,No,0,Research & Development,Research Scientist,1,Travel_Rarely,Male,Divorced,Life Sciences,1,2904,1. Under $3K,12,2,4,4 - Very High,3,3,3,2,No,26,4,3. 3-5 Years,2,0,2,4,1,3,2
41,3. Age 35-44,No,0,Research & Development,Manufacturing Director,2,Travel_Rarely,Male,Single,Medical,3,6032,3. $6K-$10K,15,0,2,2 - Medium,4,4,2,3,Yes,6,5,3. 3-5 Years,4,1,2,8,6,3,3
47,4. Age 45-54,No,0,Sales,Sales Representative,2,Travel_Frequently,Male,Single,Medical,1,2976,1. Under $3K,19,0,3,3 - High,2,1,3,3,No,4,0,1. 0-1 Years,0,0,0,5,3,3,3
42,3. Age 35-44,No,0,Research & Development,Research Director,4,Travel_Rarely,Female,Single,Life Sciences,5,15992,4. Above $10K,14,0,4,4 - Very High,1,2,3,3,No,23,1,1. 0-1 Years,0,0,0,16,2,3,2
29,2. Age 25-34,No,0,Sales,Sales Executive,2,Non-Travel,Male,Married,Life Sciences,3,4649,2. $3K-$6K,14,1,3,3 - High,4,1,3,2,No,2,4,3. 3-5 Years,3,0,2,4,1,3,3
42,3. Age 35-44,No,0,Human Resources,Human Resources,1,Travel_Rarely,Male,Divorced,Technical Degree,1,2696,1. Under $3K,11,1,3,3 - High,3,3,3,3,Yes,2,3,2. 1-3 Years,2,1,0,4,0,3,5
32,2. Age 25-34,No,0,Research & Development,Laboratory Technician,1,Travel_Rarely,Female,Married,Medical,3,2370,1. Under $3K,13,1,2,2 - Medium,3,3,3,3,No,2,8,4. 5-10 Years,0,0,7,8,1,3,4
48,4. Age 45-54,No,0,Sales,Manager,3,Travel_Rarely,Female,Married,Medical,1,12504,4. Above $10K,21,1,3,3 - High,1,2,3,1,No,29,0,1. 0-1 Years,0,0,0,15,3,4,3
37,3. Age 35-44,No,0,Research & Development,Research Scientist,2,Travel_Rarely,Male,Divorced,Medical,3,5974,2. $3K-$6K,13,2,1,1 - Low,3,1,4,3,Yes,6,7,4. 5-10 Years,7,6,7,13,4,3,2
30,2. Age 25-34,No,0,Sales,Sales Executive,2,Non-Travel,Female,Married,Technical Degree,2,4736,2. $3K-$6K,12,1,3,3 - High,4,2,3,4,Yes,25,2,2. 1-3 Years,2,2,2,4,7,3,2
26,2. Age 25-34,No,0,Sales,Sales Executive,2,Travel_Rarely,Male,Married,Life Sciences,3,5296,2. $3K-$6K,17,1,3,3 - High,3,2,3,3,No,1,8,4. 5-10 Years,7,7,7,8,1,3,3
42,3. Age 35-44,No,0,Research & Development,Healthcare Representative,2,Travel_Rarely,Male,Single,Other,4,6781,3. $6K-$10K,23,0,4,4 - Very High,1,2,2,3,No,2,1,1. 0-1 Years,0,0,0,14,3,4,6
21,1. Under 25,Yes,1,Sales,Sales Representative,1,Travel_Frequently,Female,Single,Technical Degree,1,2174,1. Under $3K,11,0,2,2 - Medium,1,3,2,3,Yes,1,3,2. 1-3 Years,2,1,2,3,1,3,3
36,3. Age 35-44,No,0,Sales,Sales Executive,2,Non-Travel,Female,Single,Medical,5,6653,3. $6K-$10K,15,0,4,4 - Very High,4,2,3,3,No,1,1,1. 0-1 Years,0,0,0,7,4,3,6
36,3. Age 35-44,No,0,Sales,Sales Executive,3,Travel_Frequently,Male,Married,Medical,4,9699,3. $6K-$10K,11,1,4,4 - Very High,1,1,2,3,No,3,13,5. 10+ Years,9,1,12,16,4,3,2
57,5. Age 55+,No,0,Research & Development,Healthcare Representative,2,Travel_Rarely,Male,Married,Medical,4,6755,3. $6K-$10K,11,0,3,3 - High,4,3,3,3,No,1,3,2. 1-3 Years,2,1,2,15,2,3,2
40,3. Age 35-44,No,0,Research & Development,Laboratory Technician,1,Travel_Rarely,Female,Married,Life Sciences,4,2213,1. Under $3K,13,1,3,3 - High,4,3,4,3,Yes,10,7,4. 5-10 Years,7,1,7,10,3,3,3
21,1. Under 25,No,0,Sales,Sales Representative,1,Non-Travel,Male,Single,Medical,2,2610,1. Under $3K,24,0,4,4 - Very High,1,3,3,2,No,9,3,2. 1-3 Years,2,2,2,3,1,4,3
33,2. Age 25-34,Yes,1,Sales,Sales Representative,1,Travel_Rarely,Female,Single,Marketing,3,2851,1. Under $3K,13,0,3,3 - High,4,2,3,3,Yes,5,1,1. 0-1 Years,0,0,0,1,1,3,2
37,3. Age 35-44,No,0,Research & Development,Laboratory Technician,1,Travel_Rarely,Female,Married,Medical,3,3452,2. $3K-$6K,20,1,1,1 - Low,3,2,3,3,No,10,5,3. 3-5 Years,4,0,3,17,6,4,3
46,4. Age 45-54,No,0,Research & Development,Manufacturing Director,2,Non-Travel,Female,Married,Medical,4,5258,2. $3K-$6K,14,0,3,3 - High,3,3,3,4,No,7,1,1. 0-1 Years,0,0,0,7,2,3,2
41,3. Age 35-44,Yes,1,Sales,Sales Executive,2,Travel_Frequently,Male,Single,Marketing,3,9355,3. $6K-$10K,18,0,2,2 - Medium,1,3,3,3,No,4,8,4. 5-10 Years,7,7,7,8,1,3,5
50,4. Age 45-54,No,0,Research & Development,Healthcare Representative,3,Travel_Rarely,Male,Single,Technical Degree,3,10496,4. Above $10K,15,0,4,4 - Very High,4,4,2,3,No,10,4,3. 3-5 Years,3,1,3,20,6,3,2
40,3. Age 35-44,Yes,1,Sales,Sales Executive,2,Travel_Rarely,Male,Married,Marketing,2,6380,3. $6K-$10K,12,2,3,3 - High,3,1,2,3,Yes,22,6,4. 5-10 Years,4,1,0,8,2,3,6
31,2. Age 25-34,No,0,Research & Development,Research Scientist,1,Travel_Rarely,Male,Single,Life Sciences,4,2657,1. Under $3K,16,0,2,2 - Medium,3,4,2,3,Yes,9,2,2. 1-3 Years,2,2,2,3,0,3,5
21,1. Under 25,Yes,1,Sales,Sales Representative,1,Travel_Rarely,Female,Single,Life Sciences,3,2716,1. Under $3K,15,0,2,2 - Medium,3,4,4,3,No,12,1,1. 0-1 Years,0,0,0,1,1,3,0
29,2. Age 25-34,No,0,Research & Development,Research Scientist,1,Travel_Rarely,Male,Single,Life Sciences,3,2201,1. Under $3K,16,0,4,4 - Very High,4,4,3,3,No,23,3,2. 1-3 Years,2,1,2,6,9,3,4
35,3. Age 35-44,No,0,Research & Development,Healthcare Representative,2,Travel_Rarely,Male,Single,Life Sciences,4,6540,3. $6K-$10K,19,0,2,2 - Medium,3,3,2,3,No,9,1,1. 0-1 Years,1,0,0,10,9,3,5
27,2. Age 25-34,No,0,Research & Development,Laboratory Technician,1,Travel_Rarely,Male,Divorced,Medical,2,3816,2. $3K-$6K,11,1,2,2 - Medium,4,2,3,3,No,1,5,3. 3-5 Years,2,0,4,5,1,3,2
28,2. Age 25-34,No,0,Sales,Sales Executive,2,Travel_Rarely,Male,Single,Life Sciences,4,5253,2. $3K-$6K,16,0,4,4 - Very High,2,4,3,3,No,9,7,4. 5-10 Years,5,0,7,7,1,3,1
49,4. Age 45-54,No,0,Research & Development,Healthcare Representative,3,Travel_Rarely,Male,Single,Other,3,10965,4. Above $10K,24,0,3,3 - High,2,3,2,3,No,7,5,3. 3-5 Years,2,0,0,26,8,4,2
51,4. Age 45-54,No,0,Sales,Sales Executive,2,Travel_Rarely,Female,Married,Life Sciences,2,4936,2. $3K-$6K,11,1,4,4 - Very High,3,3,3,2,No,14,7,4. 5-10 Years,7,0,7,18,4,3,2
36,3. Age 35-44,No,0,Research & Development,Research Scientist,1,Travel_Rarely,Female,Married,Life Sciences,3,2543,1. Under $3K,13,1,3,3 - High,4,2,3,3,No,2,2,2. 1-3 Years,2,2,2,6,4,3,3
34,2. Age 25-34,Yes,1,Sales,Sales Executive,2,Non-Travel,Male,Single,Marketing,3,5304,2. $3K-$6K,13,0,4,4 - Very High,1,2,4,2,Yes,19,5,3. 3-5 Years,2,0,4,9,8,3,3
55,5. Age 55+,No,0,Research & Development,Manager,4,Travel_Rarely,Female,Single,Life Sciences,3,16659,4. Above $10K,13,0,4,4 - Very High,3,3,3,3,Yes,2,5,3. 3-5 Years,4,1,2,30,2,3,2
24,1. Under 25,No,0,Sales,Sales Executive,2,Travel_Rarely,Female,Divorced,Marketing,4,4260,2. $3K-$6K,12,1,3,3 - High,4,4,3,4,Yes,10,5,3. 3-5 Years,2,0,3,5,1,3,2
30,2. Age 25-34,No,0,Sales,Sales Representative,1,Travel_Rarely,Male,Married,Technical Degree,1,2476,1. Under $3K,18,1,2,2 - Medium,3,1,3,3,No,2,1,1. 0-1 Years,0,0,0,1,1,3,3
26,2. Age 25-34,Yes,1,Research & Development,Research Scientist,1,Travel_Frequently,Male,Single,Technical Degree,1,3102,2. $3K-$6K,22,0,1,1 - Low,3,3,3,3,No,3,6,4. 5-10 Years,4,0,4,7,0,4,2
22,1. Under 25,No,0,Research & Development,Research Scientist,1,Travel_Rarely,Female,Married,Medical,3,2244,1. Under $3K,13,1,2,2 - Medium,1,4,3,3,No,11,2,2. 1-3 Years,1,1,2,2,1,3,1
36,3. Age 35-44,No,0,Sales,Sales Executive,3,Travel_Rarely,Male,Married,Medical,2,7596,3. $6K-$10K,13,2,3,3 - High,2,2,2,3,No,2,10,4. 5-10 Years,9,9,0,10,1,3,2
30,2. Age 25-34,Yes,1,Research & Development,Research Scientist,1,Travel_Frequently,Male,Single,Technical Degree,3,2285,1. Under $3K,23,0,4,4 - Very High,3,3,3,3,Yes,4,1,1. 0-1 Years,0,0,0,3,9,4,4
37,3. Age 35-44,No,0,Research & Development,Laboratory Technician,1,Travel_Rarely,Female,Divorced,Life Sciences,3,3034,2. $3K-$6K,12,1,1,1 - Low,4,3,3,2,No,14,18,5. 10+ Years,7,12,17,18,1,3,2
40,3. Age 35-44,No,0,Sales,Sales Executive,2,Travel_Rarely,Female,Divorced,Marketing,2,5715,2. $3K-$6K,12,2,2,2 - Medium,4,3,3,3,No,2,5,3. 3-5 Years,4,1,3,8,7,3,5
42,3. Age 35-44,No,0,Research & Development,Laboratory Technician,1,Travel_Rarely,Female,Divorced,Life Sciences,4,2576,1. Under $3K,16,1,1,1 - Low,2,2,3,3,No,1,5,3. 3-5 Years,2,1,2,8,3,3,5
37,3. Age 35-44,No,0,Research & Development,Manufacturing Director,2,Travel_Rarely,Male,Single,Life Sciences,4,4197,2. $3K-$6K,12,0,2,2 - Medium,3,4,3,2,Yes,10,1,1. 0-1 Years,0,0,1,18,2,3,2
43,3. Age 35-44,No,0,Research & Development,Research Director,4,Travel_Rarely,Male,Divorced,Life Sciences,3,14336,4. Above $10K,11,1,2,2 - Medium,1,3,2,3,No,12,25,5. 10+ Years,10,3,9,25,1,3,3
40,3. Age 35-44,No,0,Research & Development,Laboratory Technician,2,Travel_Rarely,Female,Married,Medical,3,3448,2. $3K-$6K,22,1,3,3 - High,2,2,2,3,No,2,1,1. 0-1 Years,0,0,0,20,6,4,3
54,4. Age 45-54,No,0,Research & Development,Research Director,5,Travel_Rarely,Male,Married,Medical,2,19406,4. Above $10K,11,1,1,1 - Low,1,3,3,2,No,5,4,3. 3-5 Years,2,1,2,24,4,3,4
34,2. Age 25-34,No,0,Sales,Sales Executive,2,Non-Travel,Female,Married,Marketing,4,6538,3. $6K-$10K,15,1,3,3 - High,3,1,3,3,No,4,3,2. 1-3 Years,2,1,2,6,9,3,3
31,2. Age 25-34,No,0,Research & Development,Manufacturing Director,2,Travel_Rarely,Female,Married,Medical,2,4306,2. $3K-$6K,12,1,1,1 - Low,2,2,3,1,No,7,13,5. 10+ Years,10,3,12,13,1,3,5
43,3. Age 35-44,No,0,Research & Development,Laboratory Technician,1,Travel_Frequently,Male,Married,Medical,3,2258,1. Under $3K,20,1,4,4 - Very High,4,1,3,3,No,21,3,2. 1-3 Years,2,1,2,8,7,4,1
43,3. Age 35-44,No,0,Research & Development,Healthcare Representative,2,Travel_Rarely,Female,Divorced,Other,4,4522,2. $3K-$6K,14,0,3,3 - High,3,4,3,3,Yes,8,5,3. 3-5 Years,2,0,2,8,4,3,3
25,2. Age 25-34,No,0,Sales,Sales Executive,2,Travel_Rarely,Female,Single,Life Sciences,2,4487,2. $3K-$6K,11,0,4,4 - Very High,2,2,2,3,Yes,4,5,3. 3-5 Years,4,1,3,5,1,3,3
37,3. Age 35-44,No,0,Research & Development,Research Scientist,2,Non-Travel,Female,Married,Medical,5,4449,2. $3K-$6K,15,2,3,3 - High,2,1,3,3,Yes,25,13,5. 10+ Years,11,10,7,15,3,3,2
31,2. Age 25-34,No,0,Research & Development,Laboratory Technician,1,Travel_Rarely,Male,Married,Life Sciences,2,2218,1. Under $3K,12,1,1,1 - Low,4,3,2,3,No,1,4,3. 3-5 Years,2,3,2,4,1,3,3
39,3. Age 35-44,No,0,Research & Development,Manager,5,Travel_Frequently,Male,Divorced,Life Sciences,1,19197,4. Above $10K,14,1,3,3 - High,2,3,3,3,Yes,1,21,5. 10+ Years,8,1,6,21,1,3,3
56,5. Age 55+,No,0,Sales,Sales Executive,4,Travel_Frequently,Female,Married,Life Sciences,3,13212,4. Above $10K,11,3,1,1 - Low,3,4,4,2,No,6,7,4. 5-10 Years,7,7,7,36,9,3,0
30,2. Age 25-34,No,0,Sales,Sales Executive,2,Travel_Rarely,Female,Single,Technical Degree,3,6577,3. $6K-$10K,11,0,3,3 - High,2,2,3,3,No,12,5,3. 3-5 Years,4,4,4,6,0,3,6
41,3. Age 35-44,No,0,Sales,Sales Executive,3,Travel_Rarely,Male,Married,Marketing,3,8392,3. $6K-$10K,16,1,1,1 - Low,2,3,4,3,No,1,10,4. 5-10 Years,7,0,7,10,1,3,2
28,2. Age 25-34,No,0,Research & Development,Laboratory Technician,2,Travel_Rarely,Male,Divorced,Medical,2,4558,2. $3K-$6K,12,1,1,1 - Low,3,4,3,3,No,17,10,4. 5-10 Years,0,1,8,10,1,3,2
25,2. Age 25-34,Yes,1,Research & Development,Laboratory Technician,1,Travel_Rarely,Male,Married,Medical,3,4031,2. $3K-$6K,13,1,1,1 - Low,1,3,3,3,No,3,2,2. 1-3 Years,2,0,2,6,5,3,5
52,4. Age 45-54,No,0,Research & Development,Manufacturing Director,3,Travel_Rarely,Male,Married,Medical,3,7969,3. $6K-$10K,14,0,3,3 - High,4,3,2,3,Yes,3,5,3. 3-5 Years,4,0,4,28,2,3,4
45,4. Age 45-54,No,0,Research & Development,Research Scientist,1,Travel_Rarely,Male,Married,Life Sciences,2,2654,1. Under $3K,21,2,4,4 - Very High,1,4,3,2,No,10,2,2. 1-3 Years,2,0,2,8,3,4,3
